Avg. Income,Avg. House Age,Avg. Number of Bedrooms,Avg. Number of Bathrooms,Area Population,Price,SqFt
79545.45857,5.682861322,7.009188143,4.09,23086.8005,1059033.558,2713.7564429
79248.64245,6.002899808,6.730821019,3.09,40173.07217,1505890.915,2776.2463057000004
61287.06718,5.86588984,8.51272743,5.13,36882.1594,1058987.988,3436.818229
63345.24005,7.188236095,5.586728665,3.26,34310.24283,1260616.807,2208.0185995
59982.19723,5.040554523,7.839387785,4.23,26354.10947,630943.4893,2945.8163355
80175.75416,4.988407758,6.104512439,4.04,26748.42842,1068138.074,2523.3537317
64698.46343,6.025335907,8.147759585,3.41,60828.24909,1502055.817,2905.3278754999997
78394.33928,6.989779748,6.620477995,2.42,36516.35897,1573936.564,2430.1433985
59927.66081,5.36212557,6.393120981,2.3,29387.396,798869.5328,2368.9362943
81885.92718,4.42367179,8.167688003,6.1,40149.96575,1545154.813,3374.3064009
80527.47208,8.093512681,5.0427468,4.1,47224.35984,1707045.722,2352.82404
50593.6955,4.496512793,7.467627404,4.49,34343.99189,663732.3969,2876.2882212
39033.80924,7.671755373,7.250029317,3.1,39220.36147,1042814.098,2957.0087951
73163.66344,6.919534825,5.993187901,2.27,32326.12314,1291331.518,2223.9563703
69391.38018,5.344776177,8.406417715,4.37,35521.29403,1402818.21,3417.9253145
73091.86675,5.443156467,8.517512711,4.01,23929.52405,1306674.66,3207.2538133000003
79706.96306,5.067889591,8.219771123,3.12,39717.81358,1556786.6,3007.9313368999997
61929.07702,4.788550242,5.097009554,4.3,24595.9015,528485.2467,2208.1028662
63508.1943,5.94716514,7.187773835,5.12,35719.65305,1019425.937,3076.3321505
62085.2764,5.739410844,7.091808104,5.49,44922.1067,1030591.429,3033.5424312
86294.99909,6.62745694,8.011897853,4.07,47560.77534,2146925.34,3253.5693559
60835.08998,5.551221592,6.517175038,2.1,45574.74166,929247.5995,2558.1525114
64490.65027,4.21032287,5.478087731,4.31,40358.96011,718887.2315,2559.4263192999997
60697.35154,6.170484091,7.150536572,6.34,28140.96709,743999.8192,3070.1609716
59748.85549,5.339339881,7.748681606,4.23,27809.98654,895737.1334,3123.6044818
56974.47654,8.287562194,7.312879971,4.33,40694.86951,1453974.506,2886.8639913
82173.62608,4.018524685,6.992698757,2.03,38853.91807,1125692.507,2713.8096271
64626.88098,5.44335959,6.988753539,4.0,27784.74228,975429.4928,2617.6260617000003
90499.05745,6.384358921,4.242191302,3.04,33970.16499,1240763.766,1928.6573906
59323.7921,6.97782794,8.273697078,4.07,37520.65773,1577017.76,3224.1091234
77811.52203,5.314460215,6.686686133,3.24,33754.7378,1246830.188,2774.0058399
68652.60921,6.1243421,6.290820167,4.42,39355.62573,1170720.894,2477.2460500999996
55041.35158,7.127128553,8.591923294,5.36,30122.47348,1071279.21,3271.5769882000004
50218.70846,6.118808131,7.333554072,6.29,16810.78331,534305.1323,3098.0662216
55909.3223,5.419562911,9.289854372,6.0,22355.23541,936368.9634,3673.9563116000004
74372.81021,5.500128573,6.593045604,2.07,39395.15118,1199193.831,2554.9136812
78667.9046,5.470652207,7.780836693,4.1,27637.65655,1233220.009,3033.2510079000003
78699.5151,5.652783637,6.756453856,3.01,22836.60757,1081150.125,2601.9361568000004
53128.18545,5.180664125,5.426902859,2.39,32947.71196,524712.7661,2017.0708577
17796.63119,4.949557006,6.713905445,2.5,47162.18364,302355.836,2727.1716335
58566.84936,6.579691453,5.034525352,2.17,39705.46496,1026817.4,1881.3576056
75537.79451,7.845215914,7.555660721,6.3,32778.19534,1762214.68,3239.6982163
46147.05306,6.623332829,7.60683155,4.43,27161.12861,882057.1706,3144.049465
70421.47649,6.90708297,7.634318731,4.44,43183.92849,1744932.211,2964.2956193
62614.42062,5.499309697,7.440505218,6.32,26888.57956,1153871.47,3270.1515654
66394.87159,7.069512154,7.204639709,3.18,39741.07751,1499988.88,2713.3919127
73946.85107,4.863154306,7.537182365,6.35,35261.12702,1109588.38,3016.1547095
69144.74571,7.296224497,5.928223473,3.22,19030.61549,980177.3051,2528.4670419
77278.69703,6.238891015,6.919204136,2.13,21725.95429,1323952.027,2554.7612408
86754.19663,6.604439819,6.252454805,4.02,43017.44076,1662494.736,2650.7364414999997
74399.84098,6.382452912,7.252665322,6.36,41084.66282,1417819.74,3298.7995966000003
49408.19834,5.825920476,5.831738973,3.32,26881.1306,549976.1456,2269.5216919
62279.79005,6.108449991,6.30611635,4.12,35263.65314,1054770.981,2718.8349049999997
73078.20409,5.92390639,6.445456691,3.32,54915.96178,1415647.553,2378.6370073
72942.70506,4.786222295,7.31988553,6.41,24377.90905,948788.2757,3177.965659
63819.62285,5.949839471,8.022469239,4.09,27825.57206,1159596.519,3179.7407716999996
73265.44989,8.314761979,7.42559746,3.24,21030.96618,1547133.396,2996.6792379999997
68488.13117,6.116111748,7.18252748,5.08,18267.95471,1186688.506,2814.758244
55193.85745,7.186120667,5.096917456,4.01,32537.81877,772111.9721,2415.0752368
77434.68924,6.309271353,5.219754029,3.06,36252.34068,1172730.156,2310.9262086999997
66158.88159,4.476429066,6.91174261,2.28,37098.74217,1111085.017,2492.522783
60502.90933,7.533380986,5.731824125,4.23,33579.63151,1022781.171,2608.5472375
60910.89379,5.635466738,7.325973781,4.2,43347.804,1274474.546,2980.7921343
73931.97852,6.394107667,4.580839921,4.32,36543.06728,1213530.85,1940.2519763
59539.94845,6.018590243,7.007676166,5.43,58600.82715,1411730.477,2950.3028498000003
56547.50719,5.435415183,6.515149877,3.13,37585.27458,858685.5659,2447.5449631
65950.34702,5.476513158,6.717844306,3.28,40110.8476,1200961.821,2492.3532918
74533.16208,6.67935313,5.919230725,4.0,49481.56581,1520234.229,2634.7692175
66422.91905,7.12207185,7.078583745,6.36,31019.32482,1360908.32,3246.5751235000002
74334.49485,5.419012564,6.261535284,4.12,41640.43566,1360920.53,2391.4605852
63538.34616,4.764499308,7.168662411,3.27,43282.183,1146532.455,2966.5987233
83953.10484,7.385134534,6.898846569,3.08,37283.35765,1789098.521,2530.6539707
57279.06358,5.118108905,6.561520216,3.17,44023.79068,852099.464,2490.4560647999997
56553.55025,5.691129213,7.021252354,3.15,29682.40986,746096.7289,2780.3757062
75795.57598,5.786780024,7.327325343,6.25,33197.77774,1534479.907,3232.1976029
70848.78866,5.28232502,6.766444664,3.27,40458.73587,1215608.531,2646.9333992
59787.4045,5.653120316,6.594592279,3.43,32402.10755,941594.3284,2638.3776836999996
64826.37189,4.010907337,8.290419813,4.38,60286.0431,1204598.037,3068.1259439
65925.8538,7.605511954,7.070409541,3.28,34171.36007,1597655.258,2710.1228623
64419.25264,6.954422126,8.516160048,6.16,39318.17075,1492011.496,3471.8480144
58544.4603,8.562610576,7.276308629,4.28,30865.58695,1421216.504,2979.8925887
68791.79169,4.725552228,6.704201604,4.11,48423.32244,1132522.901,2872.2604812
82061.5652,4.182828228,5.963031884,4.1,36271.4085,1102821.438,2601.9095652
80659.52544,5.436306202,7.100753432,6.24,52947.03636,1856211.35,3124.2260296
66668.09352,6.184965339,7.863127437,3.35,47075.21223,1687998.933,3007.9382311
64721.5645,5.677637527,6.971331701,4.48,36115.81636,1063423.007,2890.3995103
65199.98994,6.445742898,6.937127028,3.2,28366.03543,1177289.886,2690.1381084
74579.98953,4.639654131,5.521489299,3.07,42806.14664,1173474.379,2358.4467897
76273.67033,7.879751801,4.500165348,3.39,46974.57879,1637259.999,2001.0496044000001
67561.94206,5.251400747,7.658576339,4.04,35517.54187,1238938.291,3008.5729017
48904.98327,4.844972531,5.44895603,3.38,32960.75307,201898.0866,2308.686809
72145.96721,6.39862599,8.258634923,6.06,28882.90085,1439506.102,3520.5904769000003
70805.61068,4.443728924,5.809147306,3.3,29268.82674,585608.6326,2538.7441918
65383.33792,7.512526779,6.640032004,3.46,35114.40246,1294685.159,2490.0096012
95450.29309,6.595060685,6.850361008,3.33,39388.51552,2014851.344,2767.1083024
73698.69636,6.372730932,6.578352074,4.33,51815.09642,1840236.006,2722.5056222
